experiment,main_change,single_samples,ppl,identity,style,single_weighted,win_rate_vs_base_card,distinct_1,distinct_2,repetition,multi_identity,memory,coherence,multi_style,multi_immersion,multi_weighted,train_loss,train_minutes
train_1,"512 context, old left truncation",100,10.404,2.770,2.560,2.718,0.440,0.640,0.734,0.256,2.500,3.800,2.600,2.250,2.200,2.763,2.364,21.3
train_2,"512 context, preserve character card",70,9.441,2.657,2.543,2.643,0.486,0.479,0.598,0.402,2.500,2.600,1.900,1.850,1.950,2.225,,
train_3,"1024 context, preserve character card",99,10.446,2.970,2.778,2.935,0.556,0.652,0.761,0.239,2.850,3.650,2.800,2.350,2.350,2.890,2.350,50.7
train_4,"1024 context, lr 1e-4, 2 epochs, best checkpoint",99,10.343,2.909,2.778,2.938,0.556,0.718,0.809,0.181,2.850,2.950,2.600,2.300,2.350,2.668,2.278,101.6
