experiment,valid_single_judge,single_diff_lora_minus_base_card,single_ci95_low,single_ci95_high,single_win_rate,multi_samples,multi_diff_lora_minus_base_card,multi_ci95_low,multi_ci95_high,judge_success_rate,judge_order_consistency
train_1,100,0.043,-0.255,0.330,0.440,20,-0.685,-1.218,-0.177,1.000,0.857
train_2,70,-0.176,-0.547,0.207,0.486,20,-1.113,-1.623,-0.542,1.000,0.769
train_3,99,0.303,-0.029,0.656,0.556,20,-0.545,-0.985,-0.100,0.992,0.500
train_4,99,0.235,-0.060,0.558,0.556,20,-0.485,-0.993,-0.005,0.992,0.929
train_5,100,0.267,-0.039,0.580,0.550,20,-0.743,-1.080,-0.378,1.000,0.643
